,TGFBR2 (M),SMAD4 (M),SMAD4/18q (Del)
TGFBR2 (M),-1.73,-0.95,-2.85
SMAD4 (M),-1.31,-1.76,-0.35
SMAD4/18q (Del),-2.86,-0.94,0.53
