,TGFBR2 (M),SMAD4 (M),FBXW7 (M)
TGFBR2 (M),-2.61,-1.18,0.29
SMAD4 (M),-1.07,-1.86,-0.97
FBXW7 (M),0.0,-0.91,-1.65
