,TGFBR2 (M),SMAD4 (M),CTNNB1 (M)
TGFBR2 (M),-2.56,-1.18,-0.01
SMAD4 (M),-1.18,-1.94,-0.16
CTNNB1 (M),-0.0,-0.07,-2.33
