,TGFBR2 (M),SMAD4 (M),FLT3/13q (Amp)
TGFBR2 (M),-1.87,-1.34,-2.57
SMAD4 (M),-1.52,-1.5,-1.12
FLT3/13q (Amp),-2.55,-1.35,0.24
