,TGFBR2 (M),SMAD4 (M),ASXL1/20q (Amp)
TGFBR2 (M),-1.67,-1.44,-2.62
SMAD4 (M),-1.64,-1.34,-1.27
ASXL1/20q (Amp),-2.72,-1.59,0.64
