,TGFBR2 (M),SMAD4 (M),TP53/17p (Del)
TGFBR2 (M),-2.08,-1.17,-2.69
SMAD4 (M),-1.36,-1.73,-0.68
TP53/17p (Del),-2.69,-0.91,-0.28
