,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),CH
TP53 (M),0.52,-2.93,-3.05,-1.58
MCL1/1q (Amp),0.19,-0.61,-0.15,-0.15
TERT/5p (Amp),0.59,-0.12,-0.77,-0.27
CH,-0.44,-1.8,-2.12,-0.39
