,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KEAP1 (M)
TP53 (M),0.34,-2.85,-2.84,-0.54
MCL1/1q (Amp),0.19,-0.64,-0.19,0.18
TERT/5p (Amp),0.56,-0.01,-0.78,-0.66
KEAP1 (M),-1.15,0.05,-2.65,-1.4
