,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),BRAF (M)
TP53 (M),0.33,-2.98,-2.88,-1.16
MCL1/1q (Amp),0.19,-0.65,-0.1,-0.0
TERT/5p (Amp),0.59,-0.17,-0.8,-0.33
BRAF (M),-0.13,-1.49,-1.99,-2.29
