,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),SETD2 (M)
TP53 (M),0.34,-2.93,-2.76,-1.58
MCL1/1q (Amp),0.18,-0.61,-0.13,-0.84
TERT/5p (Amp),0.57,-0.15,-0.79,-0.58
SETD2 (M),-0.67,-0.92,-1.25,-2.39
