,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),EPHA7/6q (Del)
TP53 (M),0.44,-2.81,-2.47,-1.0
MCL1/1q (Amp),0.17,-0.57,-0.0,-0.54
TERT/5p (Amp),0.54,-0.23,-0.69,-0.42
EPHA7/6q (Del),-0.78,0.0,-1.13,-0.56
