,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),RBM10 (M)
TP53 (M),0.39,-2.84,-2.72,-1.41
MCL1/1q (Amp),0.16,-0.54,-0.2,-1.03
TERT/5p (Amp),0.55,-0.07,-0.79,-0.41
RBM10 (M),-1.07,-0.55,-1.12,-1.38
