,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),SMAD4 (M)
TP53 (M),0.3,-2.93,-2.61,-0.47
MCL1/1q (Amp),0.18,-0.65,-0.09,-0.01
TERT/5p (Amp),0.56,-0.19,-0.8,-0.01
SMAD4 (M),-0.5,-1.04,-0.96,-2.76
