,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),NF1 (M)
TP53 (M),0.29,-2.82,-2.58,0.0
MCL1/1q (Amp),0.2,-0.63,-0.08,-0.75
TERT/5p (Amp),0.58,-0.18,-0.78,-0.82
NF1 (M),-0.01,-0.76,-0.1,-2.55
