,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),ATRX (M)
TP53 (M),0.3,-2.96,-2.63,-0.16
MCL1/1q (Amp),0.19,-0.65,-0.08,-0.04
TERT/5p (Amp),0.56,-0.2,-0.8,-0.03
ATRX (M),-0.16,-0.42,-0.58,-3.15
