,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),ERBB2 (M)
TP53 (M),0.3,-2.98,-2.67,-0.29
MCL1/1q (Amp),0.19,-0.64,-0.1,-0.44
TERT/5p (Amp),0.57,-0.18,-0.79,-0.47
ERBB2 (M),-0.36,-0.61,-0.65,-2.78
