,T0,T1,T2,B_1
T0,-0.78,-0.45,0.01,-0.14
T1,-0.67,-2.14,0.38,0.5
T2,0.19,0.27,-2.04,-0.14
B_1,0.0,-0.13,-0.03,-0.05
