,T0,T1,T2,E_2
T0,-0.86,-0.45,0.07,0.21
T1,-0.61,-1.89,0.31,-0.0
T2,0.01,0.39,-2.11,0.35
E_2,-0.05,-0.34,0.01,-2.16
