,T0,T1,T2,A_1
T0,-0.83,-0.62,0.11,-0.0
T1,-0.4,-1.9,0.31,-0.42
T2,0.08,0.39,-2.04,-0.56
A_1,-0.12,-0.33,-0.65,-2.12
