,T0,T1,T2,E_3
T0,-0.73,-0.78,0.28,-0.0
T1,-0.0,-1.6,-0.0,-0.54
T2,0.0,0.46,-2.14,0.7
E_3,-0.0,-0.64,0.0,-1.8
