,T0,T1,T2,D_0
T0,-0.72,-1.59,0.59,0.0
T1,-0.01,-1.96,-0.24,1.11
T2,-0.09,0.46,-2.0,-0.02
D_0,0.65,0.0,-0.0,-1.27
