,T0,T1,T2,A_1
T0,-0.75,-0.89,0.41,0.23
T1,-0.0,-1.64,-0.0,-0.08
T2,-0.0,0.46,-1.98,-0.54
A_1,0.0,-0.68,-0.03,-1.79
