,TP53 (M),RB1 (M),RB1/13q (Del),null
TP53 (M),-0.3,0.0,-0.07,0.0
RB1 (M),1.05,-3.74,-0.0,0.0
RB1/13q (Del),-0.36,-0.0,-1.09,0.0
null,0.0,0.0,0.0,0.0
