,TP53 (M),RB1 (M),RB1/13q (Del),PIK3CA (M)
TP53 (M),-0.24,0.0,-0.39,-0.45
RB1 (M),1.12,-3.88,-0.0,1.09
RB1/13q (Del),-0.03,-0.0,-1.17,-0.94
PIK3CA (M),-1.12,-0.0,-0.01,-2.56
