,TP53 (M),RB1 (M),RB1/13q (Del),BRAF (M)
TP53 (M),-0.29,1.1,-0.32,-0.1
RB1 (M),0.0,-3.17,0.01,-0.39
RB1/13q (Del),-0.12,0.0,-1.16,-0.17
BRAF (M),-1.58,-0.0,-1.35,-2.39
