,TP53 (M),RB1 (M),RB1/13q (Del),SETD2 (M)
TP53 (M),-0.29,0.0,-0.01,-0.67
RB1 (M),1.04,-3.71,0.0,-1.49
RB1/13q (Del),-0.44,-0.0,-1.05,-0.53
SETD2 (M),-1.77,-0.75,-0.9,-2.53
