,TP53 (M),RB1 (M),RB1/13q (Del),EGFR (M)
TP53 (M),-0.24,1.12,-0.43,-0.2
RB1 (M),0.0,-3.18,0.0,0.0
RB1/13q (Del),-0.01,0.0,-1.21,-0.01
EGFR (M),-0.65,0.0,-0.0,-0.75
