,TP53 (M),RB1 (M),RB1/13q (Del),ARID1A (M)
TP53 (M),-0.3,1.07,-0.25,-0.0
RB1 (M),0.0,-3.18,0.03,-0.17
RB1/13q (Del),-0.17,0.0,-1.13,-0.58
ARID1A (M),-0.29,-0.0,-1.01,-2.74
