,TP53 (M),RB1 (M),RB1/13q (Del),EGFR/7p (Amp)
TP53 (M),-0.3,0.0,-0.07,-0.02
RB1 (M),1.03,-3.77,0.0,0.11
RB1/13q (Del),-0.31,-0.0,-1.05,-0.24
EGFR/7p (Amp),-0.01,0.0,-0.06,-0.84
