,TP53 (M),RB1 (M),RB1/13q (Del),MCL1/1q (Amp)
TP53 (M),-0.28,1.07,-0.03,-0.18
RB1 (M),0.0,-3.36,0.04,0.42
RB1/13q (Del),-0.39,0.0,-1.08,-0.0
MCL1/1q (Amp),-1.57,0.0,-0.64,-0.15
