,TP53 (M),RB1 (M),RB1/13q (Del),MYC/8q (Amp)
TP53 (M),-0.33,1.08,-0.05,-0.0
RB1 (M),0.0,-3.05,0.18,-0.7
RB1/13q (Del),-0.4,0.0,-1.08,-0.0
MYC/8q (Amp),-1.25,-0.3,-0.58,-0.41
