,T0,T1,T2,A_1
T0,-1.05,-0.0,-0.0,-0.0
T1,-0.62,-1.88,-0.0,-0.48
T2,-0.03,0.19,-2.04,-0.75
A_1,-0.15,-0.0,-0.49,-2.16
