,T0,T1,T2,E_2
T0,-1.05,-0.0,-0.0,0.0
T1,-0.66,-1.9,-0.07,0.0
T2,-0.08,0.21,-2.09,-0.0
E_2,0.64,-0.42,0.18,-2.42
