,T0,T1,T2,C_0
T0,-0.97,-0.02,-0.0,-0.8
T1,-0.51,-1.94,0.0,0.03
T2,-0.01,0.15,-2.07,-0.23
C_0,-0.32,0.0,-0.11,-1.72
