,T0,T1,T2,B_1
T0,-0.91,-0.0,0.24,-0.29
T1,-0.04,-2.01,-0.02,0.0
T2,0.0,-0.14,-2.32,0.15
B_1,-0.0,0.02,0.0,0.04
