,T0,T1,T2,E_1
T0,-1.04,-0.0,0.21,0.32
T1,-0.15,-1.98,-0.05,-0.06
T2,0.0,-0.02,-2.25,-0.19
E_1,0.0,-0.01,-0.18,-2.63
