,T0,T1,T2,C_3
T0,-0.86,-0.0,0.0,-0.43
T1,-0.0,-2.01,-0.17,0.0
T2,0.3,-0.01,-2.34,0.0
C_3,-1.09,0.19,0.22,-0.22
