,T0,T1,T2,A_0
T0,-0.83,-0.6,-0.01,-0.0
T1,-0.3,-1.92,0.0,-0.31
T2,-0.07,0.25,-1.95,-0.75
A_0,-0.01,-0.28,-0.84,-2.38
