,T0,T1,T2,D_0
T0,-0.84,-1.1,-0.0,0.24
T1,-0.06,-2.0,0.0,0.0
T2,-0.08,0.25,-1.96,-0.16
D_0,0.0,0.93,-0.01,-1.43
