,T0,T1,T2,C_0
T0,-0.8,-0.65,-0.04,-0.22
T1,-0.25,-1.95,0.0,-0.08
T2,-0.04,0.23,-2.0,-0.01
C_0,-0.51,-0.22,-0.15,-1.59
