,T0,T1,T2,E_3
T0,-0.81,-0.0,-0.0,-0.0
T1,-0.0,-1.83,0.01,-0.12
T2,0.0,0.01,-1.94,0.43
E_3,-0.0,-0.12,0.0,-1.98
