,T0,T1,T2,C_1
T0,-0.77,-0.0,0.0,-0.51
T1,0.0,-1.91,0.06,0.52
T2,0.01,0.0,-1.88,-0.18
C_1,-0.59,0.0,-0.35,-1.84
