,T0,T1,T2,E_0
T0,-0.87,-0.6,0.13,0.21
T1,-0.18,-1.98,0.0,-0.15
T2,0.0,0.71,-2.11,0.49
E_0,-0.0,-0.31,0.0,-2.49
