,T0,T1,T2,C_3
T0,-0.63,-0.24,0.38,-1.09
T1,-0.29,-2.13,0.0,0.41
T2,-0.0,0.65,-2.1,0.09
C_3,0.0,0.01,-0.41,-0.36
