,MET (M),KRAS (M),BRAF (M),RBM10 (M)
MET (M),-2.69,-1.99,-1.25,-0.75
KRAS (M),-1.89,-0.52,-1.76,-0.58
BRAF (M),-1.26,-1.68,-2.52,-0.89
RBM10 (M),-0.97,-0.19,-1.04,-1.97
