,MET (M),KRAS (M),BRAF (M),STK11 (M)
MET (M),-2.67,-1.78,-1.18,-1.59
KRAS (M),-1.99,-0.56,-1.51,0.0
BRAF (M),-1.25,-2.04,-2.55,-0.0
STK11 (M),-2.01,0.14,-0.49,-1.74
