,MET (M),KRAS (M),BRAF (M),SMARCA4 (M)
MET (M),-2.72,-1.88,-1.21,-0.93
KRAS (M),-2.02,-0.53,-1.97,-0.82
BRAF (M),-1.23,-1.51,-2.59,-0.0
SMARCA4 (M),-1.05,-0.04,-0.0,-2.61
