,MET (M),KRAS (M),BRAF (M),null
MET (M),-2.74,-1.94,-1.24,0.0
KRAS (M),-1.98,-0.56,-1.76,0.0
BRAF (M),-1.26,-1.71,-2.57,0.0
null,0.0,0.0,0.0,0.0
