,MET (M),KRAS (M),BRAF (M),SETD2 (M)
MET (M),-2.73,-1.94,-1.21,-0.74
KRAS (M),-1.97,-0.54,-1.63,-0.78
BRAF (M),-1.21,-1.75,-2.57,0.0
SETD2 (M),-0.88,-0.61,1.52,-3.04
