,MET (M),KRAS (M),BRAF (M),TP53 (M)
MET (M),-2.24,-1.93,-1.18,-1.85
KRAS (M),-2.42,0.06,-1.94,-3.14
BRAF (M),-1.4,-1.77,-2.06,-1.96
TP53 (M),-0.86,-0.9,-0.3,0.0
