,MET (M),KRAS (M),BRAF (M),EGFR (M)
MET (M),-2.15,-2.49,-1.75,-3.46
KRAS (M),-2.58,0.06,-2.35,-5.51
BRAF (M),-1.78,-2.23,-2.0,-3.01
EGFR (M),-3.42,-5.5,-2.98,-0.14
