,MET (M),KRAS (M),BRAF (M),MCL1/1q (Amp)
MET (M),-2.4,-1.61,-1.17,-2.0
KRAS (M),-2.7,-0.22,-1.78,-1.58
BRAF (M),-1.35,-1.62,-2.39,-0.67
MCL1/1q (Amp),-2.24,-0.51,-0.72,-0.37
