,T0,T1,T2,E_2
T0,-0.86,-0.36,0.0,-0.23
T1,-0.28,-2.01,-0.0,-0.0
T2,0.18,0.5,-2.03,0.0
E_2,-0.06,-0.47,0.22,-2.14
