,T0,T1,T2,D_0
T0,-0.87,-0.53,0.0,0.0
T1,-0.19,-2.08,-0.0,0.48
T2,0.18,0.45,-2.02,-0.0
D_0,0.01,-0.0,0.12,-2.18
