,T0,T1,T2,B_2
T0,-0.86,-0.74,0.01,-0.0
T1,-0.01,-2.08,0.0,0.0
T2,0.21,0.44,-2.03,-0.0
B_2,-0.13,0.03,-0.07,-1.54
