,T0,T1,T2,C_0
T0,-0.87,-0.22,0.0,-0.2
T1,-0.41,-1.98,0.0,-0.0
T2,0.16,0.52,-2.02,-0.03
C_0,-0.73,-0.06,-0.3,-1.74
