,T0,T1,T2,B_1
T0,-0.79,-0.94,0.18,0.03
T1,-0.0,-2.06,0.5,-0.0
T2,0.16,0.0,-2.12,0.0
B_1,-0.23,0.51,-0.38,-0.02
