,ATRX (M),SETD2 (M),BCL2/18q (Del),NF1 (M)
ATRX (M),-3.41,-0.23,-0.35,-0.0
SETD2 (M),-0.22,-2.97,-0.39,-0.52
BCL2/18q (Del),-0.25,-0.23,-1.05,-0.72
NF1 (M),-0.0,-0.4,-0.82,-2.62
