,ATRX (M),SETD2 (M),BCL2/18q (Del),KMT2D (M)
ATRX (M),-3.41,-0.25,-0.35,-0.0
SETD2 (M),-0.24,-3.0,-0.35,-0.0
BCL2/18q (Del),-0.26,-0.27,-1.06,-0.42
KMT2D (M),-0.0,-0.0,-0.42,-3.37
