,ATRX (M),SETD2 (M),BCL2/18q (Del),MCL1/1q (Amp)
ATRX (M),-3.29,-0.19,-0.48,-0.34
SETD2 (M),-0.14,-2.76,-0.05,-1.37
BCL2/18q (Del),-0.07,-0.56,-0.95,-0.39
MCL1/1q (Amp),-0.08,-0.61,-1.07,-0.41
