,ATRX (M),SETD2 (M),BCL2/18q (Del),ARID2 (M)
ATRX (M),-3.41,-0.23,-0.34,0.0
SETD2 (M),-0.25,-3.0,-0.36,-0.13
BCL2/18q (Del),-0.27,-0.26,-1.06,-0.68
ARID2 (M),0.0,-0.03,-0.72,-3.32
