,ATRX (M),SETD2 (M),BCL2/18q (Del),KEAP1 (M)
ATRX (M),-3.41,-0.24,-0.39,0.0
SETD2 (M),-0.17,-2.94,-0.36,-0.8
BCL2/18q (Del),-0.17,-0.27,-1.01,-0.84
KEAP1 (M),0.0,-0.65,-0.96,-1.91
