,ATRX (M),SETD2 (M),BCL2/18q (Del),SMARCA4 (M)
ATRX (M),-3.41,-0.23,-0.37,-0.0
SETD2 (M),-0.23,-2.99,-0.36,-0.27
BCL2/18q (Del),-0.22,-0.25,-1.05,-0.57
SMARCA4 (M),-0.0,-0.23,-0.62,-2.52
