,ATRX (M),SETD2 (M),BCL2/18q (Del),EGFR/7p (Amp)
ATRX (M),-3.26,-0.18,-0.34,-0.71
SETD2 (M),-0.3,-2.81,-0.0,-1.56
BCL2/18q (Del),-0.19,-0.54,-1.07,-0.0
EGFR/7p (Amp),-0.32,-0.49,-0.65,-0.72
